r_def,loc,mun,est,est_d,ageb,t_loc,cd_a,ent,con,upm,d_sem,n_pro_viv,v_sel,n_hog,h_mud,n_ent,per,n_ren,c_res,par_c,sex,eda,nac_dia,nac_mes,nac_anio,l_nac_c,cs_p12,cs_p13_1,cs_p13_2,cs_p14_c,cs_p15,cs_p16,cs_p17,n_hij,e_con,cs_ad_mot,cs_p20_des,cs_ad_des,cs_nr_mot,cs_p22_des,cs_nr_ori,ur,zona,salario,fac,clase1,clase2,clase3,pos_ocu,seg_soc,rama,c_ocu11c,ing7c,dur9c,emple7c,medica5c,buscar5c,rama_est1,rama_est2,dur_est,ambito1,ambito2,tue1,tue2,tue3,busqueda,d_ant_lab,d_cexp_est,dur_des,sub_o,s_clasifi,remune2c,pre_asa,tip_con,dispo,nodispo,c_inac5c,pnea_est,niv_ins,eda5c,eda7c,eda12c,eda19c,hij5c,domestico,anios_esc,hrsocup,ingocup,ing_x_hrs,tpg_p8a,tcco,cp_anoc,imssissste,ma48me1sm,p14apoyos,scian,t_tra,emp_ppal,tue_ppal,trans_ppal,mh_fil2,mh_col,sec_ins
0,1,87,21,815,0,1,81,30,5020,82,201,0,3,1,0,4,105,1,1,101,1,40,10,10,1964,30,1,2,6,, , ,2,,5,,, ,,, ,2,3,1322,958,1,1,1,3,2,2,5,5,3,1,1,4,2,3,3,2,2,3,5,0,2,0,0,0,1,2,0,0,0,0,0,0,0,2,2,4,6,11,0,3,6,20,15480,180,0,0,1,4,0,2,5,1,1,1,0,1,7,8
0,1,87,31,818,0,1,81,30,5022,650,201,0,1,1,0,4,105,1,1,101,2,55,27,4,1949,30,1,7,4,3921,3,1,2,1,6,,, ,,, ,2,3,1322,605,1,1,3,1,1,4,4,4,1,6,3,4,3,8,1,2,6,2,3,0,2,0,0,0,0,0,1,1,3,0,0,0,0,4,3,5,9,14,2,3,16,0,5200,0,0,0,0,1,0,2,12,1,2,2,0,3,2,6
0,1,87,22,816,0,1,81,30,5028,307,202,0,4,1,0,4,105,4,1,301,1,13,18,2,1991,30,1,2,6,, , ,1,,6,,, ,,, ,2,3,1322,673,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,0,0,0,5,0,7,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,23,817,0,1,81,30,5040,361,301,82,3,1,0,3,105,4,1,301,1,3,28,4,2001,30, ,, ,, , , ,, ,,, ,,, ,2,3,1322,853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,87,23,817,0,1,81,30,5040,361,301,110,4,1,0,3,105,1,1,101,2,41,29,11,1963,30,1,7,5,4131,3,1,2,1,5,,, ,,, ,2,3,1322,853,1,1,3,1,1,4,1,5,1,6,3,4,3,11,1,2,7,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,4,2,4,6,11,2,3,17,0,10000,0,0,0,0,1,0,2,20,1,2,2,0,3,2,5
0,1,87,23,817,0,1,81,30,5040,361,301,137,5,1,0,3,105,1,1,101,1,42,4,6,1962,30,1,4,2,, , ,2,,1,,, ,,, ,2,3,1322,853,1,1,1,3,2,2,5,4,4,2,1,4,2,3,3,2,3,3,5,0,2,0,0,0,1,3,0,0,0,0,0,0,0,3,2,4,6,11,0,3,11,32,5805,42.1875,0,1,1,4,0,2,5,1,1,1,0,1,7,8
0,1,87,23,817,0,1,81,30,5045,796,302,95,2,1,0,3,105,1,1,101,1,32,20,6,1972,30,1,3,3,, , ,2,,5,,, ,,, ,2,3,1322,744,1,1,1,3,2,1,5,4,6,1,1,4,2,4,4,2,2,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,4,9,0,1,9,45,4300,22.22222,0,0,1,4,0,2,4,1,1,1,0,1,7,8
0,1,87,31,818,0,1,81,30,5071,899,403,6,1,1,0,2,105,4,1,617,1,56,3,11,1948,30,1,2,6,, , ,2,,5,,, ,,, ,2,3,1322,655,1,1,1,1,1,5,5,5,6,6,3,4,2,2,4,2,6,2,4,1,2,0,0,0,0,0,1,1,3,0,0,0,0,2,3,5,9,14,0,3,6,40,7740,45,0,0,0,1,0,2,3,1,2,2,0,3,2,7
0,1,87,32,819,0,1,81,30,5079,599,501,17,1,1,0,1,105,1,1,101,1,56,14,2,1948,21,1,7,5,4154,3,2,2,,6,,, ,,, ,2,3,1322,624,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,3,4,3,5,9,14,0,8,17,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,22,816,0,1,81,30,5080,388,501,83,4,1,0,1,105,2,1,201,2,23,26,2,1981,30,1,4,3,, , ,2,1,5,,, ,,, ,2,3,1322,762,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,1,2,2,7,2,8,12,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,31,818,0,1,81,30,5094,491,503,97,4,1,0,1,105,5,1,301,1,2,29,7,2002,30, ,, ,, , , ,, ,,, ,,, ,2,3,1322,736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,87,32,819,0,1,81,30,5095,486,503,33,2,1,0,1,105,2,1,201,2,47,21,8,1957,30,1,3,3,, , ,2,1,5,,, ,,, ,2,3,1322,671,1,1,1,1,1,4,4,2,6,5,3,4,3,6,4,2,4,1,1,0,2,0,0,0,0,0,1,1,3,0,0,0,0,3,3,4,7,12,2,3,9,48,2280,11.04651,0,0,0,1,0,2,18,1,2,2,0,3,2,2
0,87,87,30,857,0,3,85,30,5062,168,401,47,3,1,0,2,105,1,1,101,1,52,4,12,1952,21,1,7,5,3551,3,1,2,,5,,, ,,, ,2,3,1322,126,1,1,4,3,2,3,6,7,1,1,1,4,3,5,1,2,3,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,5,8,13,0,1,17,0,0,0,0,0,1,4,0,2,7,1,2,2,0,3,8,4
0,1,87,22,816,0,1,81,30,5002,166,101,0,4,1,0,5,105,3,1,301,2,22,13,3,1982,30,1,4,3,, , ,2,0,6,,, ,,, ,2,3,1322,802,1,1,1,1,2,3,6,3,8,2,4,4,3,5,5,2,3,1,2,0,2,0,0,0,0,0,1,1,5,0,0,0,0,4,1,2,2,7,1,3,12,70,3698,12.28571,0,0,0,4,0,2,7,1,1,2,0,3,1,4
0,1,87,21,815,0,1,81,30,5005,291,102,0,1,1,0,5,105,3,1,616,2,18,27,1,1987,30,1,3,2,, , ,2,1,1,,, ,,, ,2,3,1322,825,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,1,1,1,6,2,8,8,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,21,815,0,1,81,30,5005,291,102,0,5,1,0,5,105,3,1,301,2,7,27,7,1997,30,1,2,1,, , ,1,, ,,, ,,, ,2,3,1322,825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,87,10,814,0,1,81,30,5015,288,103,0,1,1,0,5,105,5,1,608,1,8,3,11,1996,30,2,1,3,, , ,1,, ,,, ,,, ,2,3,1322,391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,87,22,816,0,1,81,30,5021,692,201,0,3,1,0,4,105,5,1,301,2,12,11,2,1992,30,1,2,6,, , ,1,0,6,,, ,,, ,2,3,1322,635,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,2,0,0,0,5,1,7,6,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,22,816,0,1,81,30,5021,692,201,0,3,1,0,4,105,6,1,301,2,25,24,10,1979,30,1,4,3,, , ,2,2,5,,, ,,, ,2,3,1322,635,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,4,4,2,2,3,8,2,8,12,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,22,816,0,1,81,30,5021,692,201,0,5,1,0,4,105,4,1,301,2,18,29,12,1986,30,1,4,1,, , ,1,0,6,,, ,,, ,2,3,1322,635,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,3,1,1,1,6,1,8,10,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
0,1,87,40,821,0,1,81,30,5033,828,203,0,1,1,0,4,105,3,1,301,1,27,29,6,1977,30,1,8,2,5920, ,1,2,,6,,, ,,, ,2,3,1322,802,1,1,1,1,2,4,4,5,6,6,4,4,3,11,4,2,7,2,4,1,2,0,0,0,0,0,1,1,2,0,0,0,0,4,2,2,3,8,0,1,18,45,7000,36.17571,0,0,0,4,0,2,20,1,1,2,0,3,1,5
0,1,87,40,821,0,1,81,30,5033,828,203,0,1,1,0,4,105,4,1,301,2,25,30,5,1979,30,1,7,5,3441,3,1,2,0,6,,, ,,, ,2,3,1322,802,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,0,0,0,0,0,0,0,0,0,4,2,2,3,8,1,3,17,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0
